"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft"
"6613",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5487,45,NA,"A2","47-26 158TH STREET                       ","            ",11358,1,0,1,4000,1220,1935,1,"A2","$ 820,000","2015-07-27",820000,1220,4000
"6614",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5490,11,NA,"A1","47-41 160TH   STREET                     ","            ",11358,1,0,1,8000,2447,1925,1,"A1","$ 1,330,000","2015-11-30",1330000,2447,8000
"6615",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5491,15,NA,"A1","47-35 161ST   STREET                     ","            ",11358,1,0,1,4000,2624,1925,1,"A1","$ 950,000","2016-01-20",950000,2624,4000
"6616",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5492,53,NA,"A2","47-44 163RD   STREET                     ","            ",11358,1,0,1,5000,1864,1950,1,"A2","$ 884,000","2015-07-28",884000,1864,5000
"6617",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5493,11,NA,"A1","47-43 163RD   STREET                     ","            ",11358,1,0,1,5000,1670,1935,1,"A1","$ 920,000","2015-12-11",920000,1670,5000
"6619",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5493,23,NA,"A1","47-19 163RD   STREET                     ","            ",11358,1,0,1,4000,1188,1940,1,"A1","$ 660,000","2015-12-23",660000,1188,4000
"6620",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5510,88,NA,"A2","43-25 AUBURNDALE LANE                    ","            ",11358,1,0,1,3838,2720,1955,1,"A2","$ 725,000","2015-07-22",725000,2720,3838
"6621",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5511,69,NA,"A2","43-50 UTOPIA PARKWAY                     ","            ",11358,1,0,1,4000,1020,1955,1,"A2","$ 805,000","2015-07-16",805000,1020,4000
"6623",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5512,43,NA,"A1","43-20 189TH STREET                       ","            ",11358,1,0,1,3000,1368,1930,1,"A1","$ 560,000","2016-02-22",560000,1368,3000
"6624",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5514,9,NA,"A1","43-31 189TH STREET                       ","            ",11358,1,0,1,4217,1652,1920,1,"A1","$ 790,000","2015-05-18",790000,1652,4217
"6627",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5525,67,NA,"A1","45-50 172ND   STREET                     ","            ",11358,1,0,1,4840,1355,1940,1,"A1","$ 710,000","2015-11-24",710000,1355,4840
"6628",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5527,1,NA,"A2","45-69 UTOPIA PARKWAY                     ","            ",11358,1,0,1,2500,1179,1945,1,"A2","$ 740,000","2015-10-09",740000,1179,2500
"6629",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5527,22,NA,"A1","45-29 UTOPIA PARKWAY                     ","            ",11358,1,0,1,3000,1300,1935,1,"A1","$ 718,000","2016-01-29",718000,1300,3000
"6630",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5527,33,NA,"A1","45-07 UTOPIA PARKWAY                     ","            ",11358,1,0,1,3000,1392,1925,1,"A1","$ 592,000","2015-08-14",592000,1392,3000
"6631",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5530,56,NA,"A1","189-42 45TH AVE                          ","            ",11358,1,0,1,2650,1568,1920,1,"A1","$ 570,000","2015-05-13",570000,1568,2650
"6633",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5530,59,NA,"A1","189-50 45TH   AVENUE                     ","            ",11358,1,0,1,2650,1440,1920,1,"A1","$ 399,000","2015-08-19",399000,1440,2650
"6634",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5530,66,NA,"A1","45-10 192 STREET                         ","            ",11358,1,0,1,4000,1798,1920,1,"A1","$ 810,000","2015-09-30",810000,1798,4000
"6636",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5534,79,NA,"A1","45-12 193RD STREET                       ","            ",11358,1,0,1,4000,2252,1940,1,"A1","$ 890,000","2015-09-10",890000,2252,4000
"6639",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5535,13,NA,"A1","45-16 194TH STREET                       ","            ",11358,1,0,1,3000,1710,1940,1,"A1","$ 915,000","2015-09-02",915000,1710,3000
